rank,label,fidelity,rate,resource_cost,latency_s,p_success,score
1,link.n2.YY,0.9226795860790963,11063.678033508695,16,4e-05,0.44254712134034785,11063.678033508695
2,link.n2.XZ,0.9226795860790963,11063.678033508695,16,4e-05,0.44254712134034785,11063.678033508695
3,link.n3.YY_XZ,0.936074747365528,6967.405275021099,24,4e-05,0.278696211000844,6967.405275021099
4,link.n3.XZ_XZ,0.936074747365528,6967.405275021099,24,4e-05,0.278696211000844,6967.405275021099
5,link.n3.YY_YY,0.9516167054367437,6847.620551057721,24,4e-05,0.27390482204230887,6847.620551057721
6,link.n3.XZ_YY,0.9733131153301728,6690.193469101589,24,4e-05,0.2676077387640636,6690.193469101589
7,raw,0.6862104064922464,24999.999999999996,8,4e-05,1.0,-inf
8,end_heralded.n2.YY,0.8130170573259212,4828.254659223836,16,0.00012000000000000002,0.5793905591068604,-inf
9,end_optimistic.n2.YY,0.8130170573259212,14484.76397767151,16,4e-05,0.5793905591068604,-inf
10,end_heralded.n2.ZX,0.5832773348195642,7910.434495741138,16,0.00012000000000000002,0.9492521394889366,-inf
11,end_optimistic.n2.ZX,0.5832773348195642,23731.303487223413,16,4e-05,0.9492521394889366,-inf
12,end_heralded.n2.XZ,0.8130170573259212,4828.254659223836,16,0.00012000000000000002,0.5793905591068604,-inf
13,end_optimistic.n2.XZ,0.8130170573259212,14484.76397767151,16,4e-05,0.5793905591068604,-inf
14,end_heralded.n3.YY_YY,0.8764229951924826,1845.42919330145,24,0.0002,0.36908583866029,-inf
15,end_optimistic.n3.YY_YY,0.8764229951924826,9227.145966507249,24,4e-05,0.36908583866029,-inf
16,end_heralded.n3.YY_ZX,0.6942441243339682,2343.551725999712,24,0.0002,0.4687103451999424,-inf
17,end_optimistic.n3.YY_ZX,0.6942441243339682,11717.75862999856,24,4e-05,0.4687103451999424,-inf
18,end_heralded.n3.YY_XZ,0.8210289611639542,1975.1016437834055,24,0.0002,0.39502032875668114,-inf
19,end_optimistic.n3.YY_XZ,0.8210289611639542,9875.508218917028,24,4e-05,0.39502032875668114,-inf
20,end_heralded.n3.ZX_YY,0.7504892537705566,2531.3055125222904,24,0.0002,0.5062611025044581,-inf
21,end_optimistic.n3.ZX_YY,0.7504892537705566,12656.52756261145,24,4e-05,0.5062611025044581,-inf
22,end_heralded.n3.ZX_ZX,0.6911267474510745,2749.3997823154486,24,0.0002,0.5498799564630897,-inf
23,end_optimistic.n3.ZX_ZX,0.6911267474510745,13746.998911577242,24,4e-05,0.5498799564630897,-inf
24,end_heralded.n3.ZX_XZ,0.5803977027102893,3317.4075661481843,24,0.0002,0.6634815132296369,-inf
25,end_optimistic.n3.ZX_XZ,0.5803977027102893,16587.03783074092,24,4e-05,0.6634815132296369,-inf
26,end_heralded.n3.XZ_YY,0.8859866408684621,1824.745831360257,24,0.0002,0.36494916627205143,-inf
27,end_optimistic.n3.XZ_YY,0.8859866408684621,9123.729156801284,24,4e-05,0.36494916627205143,-inf
28,end_heralded.n3.XZ_ZX,0.6862104064922457,2392.753615192992,24,0.0002,0.47855072303859847,-inf
29,end_optimistic.n3.XZ_ZX,0.6862104064922457,11963.768075964961,24,4e-05,0.47855072303859847,-inf
30,end_heralded.n3.XZ_XZ,0.8210289611639542,1975.1016437834055,24,0.0002,0.39502032875668114,-inf
31,end_optimistic.n3.XZ_XZ,0.8210289611639542,9875.508218917028,24,4e-05,0.39502032875668114,-inf
32,link.n2.ZX,0.583635183163822,23705.849913714028,16,4e-05,0.9482339965485612,-inf
33,link.n3.YY_ZX,0.7029000211538924,9965.269518635228,24,4e-05,0.3986107807454092,-inf
34,link.n3.ZX_YY,0.8952207992429264,7666.901031546653,24,4e-05,0.30667604126186615,-inf
35,link.n3.ZX_ZX,0.700455696307778,10489.50268784369,24,4e-05,0.41958010751374764,-inf
36,link.n3.ZX_XZ,0.5812746713448791,15362.118959191761,24,4e-05,0.6144847583676705,-inf
37,link.n3.XZ_ZX,0.6925655067000938,10229.162939119713,24,4e-05,0.40916651756478856,-inf
