N,method,e_max,status,elapsed_s,best_score,note
2,dp_search,20,ok,0.0985,50000,
2,beam_search,20,ok,0.0978,50000,
4,dp_search,40,ok,1.2657,25000,
4,beam_search,40,ok,1.0114,25000,
6,dp_search,60,ok,3.8202,14371.6,
6,beam_search,60,ok,3.3430,15390.9,
8,dp_search,80,ok,10.9469,10113.2,
8,beam_search,80,ok,10.0439,10113.2,
10,dp_search,100,ok,20.4269,6195.95,
10,beam_search,100,ok,16.5019,6195.95,
12,dp_search,120,ok,37.5406,4403.95,
12,beam_search,120,ok,32.2806,4403.95,
14,dp_search,140,ok,85.3735,3394.17,
14,beam_search,140,ok,66.9318,3394.17,
16,dp_search,160,ok,121.9786,1934.32,
16,beam_search,160,ok,90.9716,1934.32,
18,dp_search,180,ok,203.6803,-inf,
18,beam_search,180,ok,153.5184,1214.41,
